N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00279,LOS JAPONESES NO ESPERAN,MEX,ROGELIO A. GONZÁLEZ,1977,
A-00280,CUANDO TEJEN LAS ARAÑAS,MEX,ROBERTO GAVALDÓN,1977,
A-00281,PAFNUCIO SANTO,MEX,RAFAEL CORKIDI,1976,
A-00282,LOS INDOLENTES,MEX,JOSÉ ESTRADA,1977,
A-00283,CRÓNICA ROJA,MEX,FERNANDO VALLEJO,1977,
A-00284,EL REDIEZCUBRIMIENTO DE MÉXICO,MEX-ESP,FERNANDO CORTÉS,1978,
A-00285,A FUEGO LENTO,MEX,JUAN IBAÑEZ,1977,
A-00286,LA DINASTÍA DE DRÁCULA,MEX,ALFREDO B. CREVENNA,1978,
A-00287,LA SUCESIÓN,MEX,ALFREDO GURROLA,1978,
A-00288,"PARA USTED, JEFA",MEX,GUILLERMO MURRAY,1979,
A-00289,CHICOASÉN,MEX,RAFAEL BALEDÓN,1978,
A-00290,UNA LEYENDA DE AMOR,MEX,ABEL SALAZAR,1978,
A-00291,"ANGELA MORANTE, CRIMEN O SUICIDIO",MEX,JOSÉ ESTRADA,1978,
A-00292,OFICIO DE TINIEBLAS,MEX,ARCHIBALDO BURNS,1978,
A-00293,PUM,MEX,JOSÉ ESTRADA,1979,
A-00294,"VALENTÍN LAZAÑA, EL RATERO DE LOS POBRES",MEX,FRANCISCO GUERRERO,1979,
A-00295,COSA FÁCIL,MEX,ALFREDO GURROLA,1979,
A-00296,DÍAS DE COMBATE,MEX,ALFREDO GURROLA,1979,
A-00297,EN LA TORMENTA,MEX,FERNANDO VALLEJO,1980,
A-00298,LAS POQUIANCHIS,MEX,FELIPE CAZALS,1976,
A-00299,EL TRIÁNGULO DIABÓLICO DE LAS BERMUDAS,MEX-ITA,RENÉ CARDONA JR.,1977,
A-00300,LA GUERRA DE LOS PASTELES,MEX,RENÉ CARDONA     ,1978,
A-00301,PERSÍGUELAS Y ALCÁNZALAS,MEX,RAÚL DE ANDA JR.,1967,
A-00302,EL HOMBRE DE NEGRO,MEX,RAÚL DE ANDA JR.,1967,
A-00303,LA MARCHA DE ZACATECAS,MEX,RAÚL DE ANDA JR.,1968,
A-00304,PROHIBIDO,MEX,RAÚL DE ANDA JR.,1968,
A-00305,VUELO 701,MEX,RAÚL DE ANDA JR.,1968,
A-00306,SU PRECIO... UNOS DÓLARES,MEX,RAÚL DE ANDA JR.,1969,
A-00307,JUEGOS DE ALCOBA,MEX,RAÚL DE ANDA JR.,1969,
A-00308,SIETE EVAS PARA ADÁN,MEX,RAÚL DE ANDA JR.,1969,
A-00309,HAY ÁNGELES SIN ALAS,MEX,RAÚL DE ANDA JR.,1971,
A-00310,LA GATITA,MEX,RAÚL DE ANDA JR.,1971,
A-00311,DUELO AL ATARDECER,MEX,RAÚL DE ANDA JR.,1971,
A-00312,LOS HOMBRES NO LLORAN,MEX,RAÚL DE ANDA JR.,1971,
A-00313,QUIERO VIVIR MI VIDA,MEX,RAÚL DE ANDA JR.,1972,
A-00314,FUGA EN LA NOCHE,MEX,RAÚL DE ANDA JR.,1972,
A-00315,CABALGANDO A LA LUNA,MEX,RAÚL DE ANDA JR.,1972,
A-00316,EL BUSCABULLAS,MEX,RAÚL DE ANDA JR.,1974,
A-00317,LA GRAN AVENTURA DEL ZORRO,MEX,RAÚL DE ANDA JR.,1974,
